"time","count_a","count_b"
365,7,5
364,4,3
363,3,1
362,4,3
361,6,2
360,6,2
359,6,5
358,4,4
357,2,2
356,6,4
355,4,3
354,0,5
353,7,5
352,3,2
351,3,5
350,4,4
349,8,4
348,8,6
347,1,3
346,7,4
345,4,2
344,3,4
343,11,7
342,7,3
341,5,3
340,9,3
339,6,2
338,3,4
337,6,2
336,9,4
335,5,3
334,7,0
333,5,3
332,5,1
331,5,5
330,6,4
329,3,5
328,7,3
327,3,5
326,2,1
325,4,5
324,6,5
323,4,2
322,8,4
321,8,4
320,5,4
319,4,1
318,4,4
317,4,5
316,7,3
315,6,4
314,3,2
313,4,3
312,6,3
311,4,1
310,6,3
309,7,4
308,5,6
307,7,5
306,6,2
305,6,4
304,6,3
303,7,1
302,3,5
301,4,3
300,3,5
299,9,3
298,6,5
297,4,5
296,6,2
295,7,5
294,4,4
293,3,4
292,2,5
291,7,4
290,5,4
289,3,3
288,8,2
287,8,2
286,8,5
285,5,5
284,4,3
283,9,4
282,3,3
281,6,3
280,12,2
279,10,6
278,4,8
277,4,2
276,7,4
275,4,4
274,5,3
273,7,7
272,7,1
271,5,6
270,6,5
269,4,5
268,7,3
267,9,2
266,3,0
265,4,3
264,8,1
263,6,1
262,3,10
261,7,0
260,9,4
259,3,5
258,6,1
257,9,1
256,6,4
255,8,2
254,6,4
253,6,3
252,6,4
251,4,3
250,10,5
249,9,3
248,6,2
247,13,5
246,5,5
245,12,8
244,8,5
243,9,5
242,8,6
241,10,4
240,5,6
239,2,2
238,2,2
237,5,1
236,7,5
235,5,3
234,7,4
233,9,1
232,7,3
231,8,3
230,5,5
229,3,8
228,9,5
227,6,4
226,11,7
225,5,2
224,5,6
223,9,1
222,12,7
221,13,4
220,7,6
219,8,9
218,7,4
217,1,1
216,7,4
215,11,3
214,10,7
213,11,5
212,11,4
211,5,2
210,7,7
209,6,8
208,9,2
207,6,5
206,5,0
205,7,7
204,11,4
203,9,4
202,8,4
201,7,3
200,9,1
199,10,6
198,4,4
197,13,5
196,8,7
195,14,6
194,9,3
193,5,7
192,8,4
191,16,6
190,8,5
189,8,1
188,11,6
187,7,6
186,8,8
185,7,8
184,10,8
183,10,10
182,16,5
181,15,7
180,10,2
179,14,11
178,6,7
177,8,7
176,12,5
175,13,6
174,8,2
173,12,7
172,8,2
171,8,9
170,11,5
169,10,0
168,12,9
167,10,5
166,6,4
165,8,5
164,10,5
163,9,9
162,8,5
161,19,6
160,11,9
159,7,10
158,10,4
157,10,5
156,11,7
155,10,3
154,12,9
153,9,6
152,8,7
151,9,8
150,8,10
149,7,10
148,8,9
147,16,7
146,13,11
145,8,8
144,13,10
143,21,8
142,12,4
141,16,5
140,9,7
139,8,5
138,15,6
137,16,11
136,8,6
135,12,9
134,12,10
133,13,16
132,12,6
131,13,7
130,16,8
129,6,11
128,15,11
127,13,5
126,20,13
125,8,7
124,17,7
123,15,11
122,17,8
121,6,11
120,16,7
119,11,6
118,14,3
117,6,10
116,12,9
115,18,11
114,20,10
113,12,10
112,16,13
111,8,8
110,9,12
109,11,13
108,12,16
107,17,6
106,13,12
105,16,5
104,17,6
103,15,8
102,17,9
101,12,9
100,25,12
99,17,11
98,15,8
97,20,13
96,15,13
95,18,10
94,12,12
93,10,7
92,23,13
91,15,13
90,10,15
89,20,11
88,18,10
87,15,7
86,21,11
85,18,7
84,25,18
83,19,15
82,22,14
81,24,18
80,19,18
79,16,12
78,29,11
77,22,16
76,19,9
75,22,13
74,19,17
73,17,15
72,25,13
71,23,13
70,33,18
69,30,13
68,32,19
67,32,12
66,16,13
65,17,19
64,32,14
63,27,12
62,22,16
61,20,11
60,32,15
59,25,23
58,31,8
57,24,14
56,37,15
55,32,22
54,32,16
53,21,18
52,37,24
51,25,18
50,38,22
49,21,25
48,40,29
47,30,15
46,33,21
45,29,22
44,39,16
43,31,17
42,51,15
41,42,21
40,35,25
39,50,21
38,44,24
37,46,23
36,52,20
35,45,25
34,46,31
33,56,29
32,61,21
31,57,34
30,50,22
29,56,31
28,60,36
27,63,44
26,61,31
25,72,38
24,59,34
23,61,44
22,77,39
21,79,38
20,97,36
19,101,57
18,80,65
17,81,67
16,104,60
15,111,43
14,121,55
13,121,65
12,129,87
11,117,86
10,153,95
9,184,94
8,180,106
7,208,123
6,237,143
5,251,176
4,314,221
3,419,256
2,521,315
1,791,533
0,1614,939
